date,store_id,region,category,units_sold,unit_price,revenue,promo_flag,holiday_flag,day_of_week,is_weekend
01-01-2023,S1,North,Electronics,26,222.92,5795.92,0,1,6,1
02-01-2023,S1,North,Electronics,24,218.31,5239.44,0,0,0,0
03-01-2023,S1,North,Electronics,23,219.3,5043.9,0,0,1,0
04-01-2023,S1,North,Electronics,32,222.51,7120.32,0,0,2,0
05-01-2023,S1,North,Electronics,28,223.55,6259.4,0,0,3,0
06-01-2023,S1,North,Electronics,26,221.03,5746.78,0,0,4,0
07-01-2023,S1,North,Electronics,28,221.2,6193.6,0,0,5,1
08-01-2023,S1,North,Electronics,29,220.48,6393.92,0,0,6,1
09-01-2023,S1,North,Electronics,25,220.42,5510.5,0,0,0,0
10-01-2023,S1,North,Electronics,23,219.57,5050.11,0,0,1,0
11-01-2023,S1,North,Electronics,39,188.48,7350.72,1,0,2,0
12-01-2023,S1,North,Electronics,19,222.61,4229.59,0,0,3,0
13-01-2023,S1,North,Electronics,27,222.37,6003.99,0,0,4,0
14-01-2023,S1,North,Electronics,27,216.18,5836.86,0,0,5,1
15-01-2023,S1,North,Electronics,28,218.66,6122.48,0,0,6,1
16-01-2023,S1,North,Electronics,22,217.44,4783.68,0,0,0,0
17-01-2023,S1,North,Electronics,18,220.33,3965.94,0,0,1,0
18-01-2023,S1,North,Electronics,26,219.65,5710.9,0,0,2,0
19-01-2023,S1,North,Electronics,19,221.74,4213.06,0,0,3,0
20-01-2023,S1,North,Electronics,28,217.18,6081.04,0,0,4,0
21-01-2023,S1,North,Electronics,24,223.29,5358.96,0,0,5,1
22-01-2023,S1,North,Electronics,32,220.13,7044.16,0,0,6,1
23-01-2023,S1,North,Electronics,23,217.57,5004.11,0,0,0,0
24-01-2023,S1,North,Electronics,24,222.83,5347.92,0,0,1,0
25-01-2023,S1,North,Electronics,19,215.88,4101.72,0,0,2,0
26-01-2023,S1,North,Electronics,19,220.43,4188.17,0,0,3,0
27-01-2023,S1,North,Electronics,17,223.47,3798.99,0,0,4,0
28-01-2023,S1,North,Electronics,28,216.73,6068.44,0,0,5,1
29-01-2023,S1,North,Electronics,22,216.41,4761.02,0,0,6,1
